"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"AL011851","            UNNAMED",18510625,80,3,-5.39999999999998,150.945395900923,"Northwest"
"AL021851","            UNNAMED",18510705,80,0,0,270,"South"
"AL031851","            UNNAMED",18510710,50,0,0,270,"South"
"AL041851","            UNNAMED",18510816,100,35.1,-6.19999999999999,100.017291645909,"North"
"AL051851","            UNNAMED",18510913,50,0,0,270,"South"
"AL061851","            UNNAMED",18511016,60,13.3,6.39999999999998,64.3030002726676,"Northeast"
"AL011852","            UNNAMED",18520819,100,20.5,-0.899999999999977,92.5138102361777,"North"
"AL021852","            UNNAMED",18520905,70,2.7,-8.39999999999998,162.181111085477,"West"
"AL031852","            UNNAMED",18520909,70,7.6,18.9,21.9058684034559,"East"
"AL041852","            UNNAMED",18520922,80,18.8,-10.1,118.246205690918,"Northwest"
"AL051852","            UNNAMED",18521006,90,23,7.80000000000001,71.2666383570831,"North"
"AL011853","            UNNAMED",18530805,50,0,0,270,"South"
"AL021853","            UNNAMED",18530810,40,0,0,270,"South"
"AL031853","            UNNAMED",18530830,130,34.1,-13,110.868430915661,"North"
"AL041853","            UNNAMED",18530908,100,11,25.5,23.3340412767098,"Northeast"
"AL051853","            UNNAMED",18530921,50,0,0,270,"South"
"AL061853","            UNNAMED",18530926,70,12.2,5.19999999999999,66.9148663271918,"Northeast"
"AL071853","            UNNAMED",18530928,50,0,0,270,"South"
"AL081853","            UNNAMED",18531019,90,5,0,90,"North"
"AL011854","            UNNAMED",18540625,70,2,-10.5,169.215702132437,"West"
"AL021854","            UNNAMED",18540823,60,0,0,270,"South"
"AL031854","            UNNAMED",18540907,110,13.8,28.6,25.7581217219756,"Northeast"
"AL041854","            UNNAMED",18540918,90,2.1,-2.39999999999998,138.81407483429,"Northwest"
"AL051854","            UNNAMED",18541020,60,9.2,8.90000000000003,45.9495668564357,"Northeast"
"AL011855","            UNNAMED",18550806,90,0,0,270,"South"
"AL021855","            UNNAMED",18550810,90,10,18,29.0546040990771,"Northeast"
"AL031855","            UNNAMED",18550811,70,0,0,270,"South"
"AL041855","            UNNAMED",18550824,60,7.7,-17.7,156.489598798599,"Northwest"
"AL051855","            UNNAMED",18550915,110,6.3,0.800000000000011,82.7630779740319,"North"
"AL011856","            UNNAMED",18560809,130,6.3,-7.10000000000002,138.416588191771,"Northwest"
"AL021856","            UNNAMED",18560813,70,0,-9.5,180,"West"
"AL031856","            UNNAMED",18560819,50,8.5,8.5,45,"Northeast"
"AL041856","            UNNAMED",18560821,50,0,0,270,"South"
"AL051856","            UNNAMED",18560825,100,18.5,17.5,46.5911402711946,"Northeast"
"AL061856","            UNNAMED",18560918,70,4.5,-4.19999999999999,133.025065989118,"Northwest"
"AL011857","            UNNAMED",18570630,50,2,8.5,13.2405199151872,"East"
"AL021857","            UNNAMED",18570906,90,23.5,43,28.6571174565581,"Northeast"
"AL031857","            UNNAMED",18570922,70,0,0,270,"South"
