"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"EP011949","            UNNAMED",19490611,45,0.400000000000002,-3.89999999999998,174.143986414571,"West"
"EP021949","            UNNAMED",19490617,45,11.9,-10,130.041549080515,"Northwest"
"EP031949","            UNNAMED",19490903,45,10.7,-10.2,133.6295489822,"Northwest"
"EP041949","            UNNAMED",19490909,75,5.2,-2.30000000000001,113.860175191342,"Northwest"
"EP051949","            UNNAMED",19490917,45,4.7,-6.59999999999999,144.544525565558,"Northwest"
"EP061949","            UNNAMED",19490929,75,0.599999999999998,-4.19999999999999,171.869897645844,"West"
"EP011950","            UNNAMED",19500614,75,7.4,-7.80000000000001,136.507435758775,"Northwest"
"EP021950","            UNNAMED",19500703,75,4.9,-7.69999999999999,147.528807709151,"Northwest"
"EP031950","            UNNAMED",19500709,75,2,-10,168.69006752598,"West"
"CP011950","               HIKI",19500812,75,12.9,-33.5,158.939570663995,"West"
"EP041950","            UNNAMED",19500812,45,1.3,-1.89999999999998,145.619655276155,"Northwest"
"EP051950","            UNNAMED",19500826,75,2.4,-11.5,168.211816700892,"West"
"EP061950","            UNNAMED",19501001,75,2.9,-3.20000000000002,137.815556684211,"Northwest"
"EP011951","            UNNAMED",19510517,45,7.3,3.00000000000003,67.6593520400057,"North"
"EP021951","            UNNAMED",19510601,75,4,-4.80000000000001,140.194428907735,"Northwest"
"EP031951","            UNNAMED",19510626,45,0.5,-3,170.537677791974,"West"
"EP041951","            UNNAMED",19510705,45,2.3,-2.80000000000001,140.599339336521,"Northwest"
"EP051951","            UNNAMED",19510803,45,9.1,-34.5,165.223743426985,"West"
"EP061951","            UNNAMED",19510824,45,16.3,-14.2,131.061260916149,"Northwest"
"EP071951","            UNNAMED",19510911,45,4.8,-5.30000000000001,137.834111016307,"Northwest"
"EP081951","            UNNAMED",19510923,75,6.5,-19.2,161.296898160635,"West"
"EP091951","            UNNAMED",19511127,45,10,-4.90000000000001,116.104854009099,"Northwest"
